Field,FormatInBase,FormatInAvro
ParentId,bigint,long
TypeId,int,int
IsProcessed,bit,boolean
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
CashDeskId,int,int
UpdateVersion,timestamp,string
Amount,decimal,double
ExternalId,varchar,string
PartnerId,int,int
PaymentSystemId,int,int
ClientSessionId,int,int
CurrencyId,char,string
Created,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
ExternalTypeId,int,int
AmountExpression,varchar,string
State,int,int
Note,nvarchar,string
PaidCashDeskId,int,int
ClientId,int,int
SessionId,int,int
GameId,int,int
TransactionDate,date,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
