Field,FormatInBase,FormatInAvro
MarketTypeOddGroupId,int,int
Modified,datetimeoffset,"{""connect.version"":1,""type"":""long"",""connect.name"":""org.apache.kafka.connect.data.Timestamp""}"
NameId,int,int
LiveDelay,int,int
UpdateVersion,timestamp,string
ExactBooking,bit,boolean
IsNotSendingLive,bit,boolean
MultipleMinValue,int,int
ArjelCode,nvarchar,string
URL,nvarchar,string
MarketCreationTemplateId,int,int
CompetitionInfo,nvarchar,string
SportId,int,int
MainMarketOrderCount,int,int
DefaultLiveAvailable,bit,boolean
SessionId,int,int
ParentId,int,int
NoteId,int,int
MatchInfoId,int,int
VideoId,int,int
IsTeamsReversed,bit,boolean
CashOutOption,int,int
IsSendingPreMatch,bit,boolean
CreationSource,int,int
RegionId,int,int
LeageType,int,int
